Semester,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,FEMALE,13,1.714,65,-0.619,6,Tue,Intermediate,2018,1,2,0,0,0,0,1,0
Fall,FEMALE,14,1.727,134,-1.609,5,Tue,Introductory,2020,0,8,1,0,0,0,0,1
Fall,MALE,14,3.5,30,-0.23,5,Tue,Introductory,2017,1,2,0,1,0,0,0,1
Fall,MALE,12,3.75,148,0.365,6,Tue,Introductory,2018,0,8,1,0,0,0,0,1
Fall,FEMALE,17,3.294,134,0.08,7,Tue,Introductory,2018,0,22,0,1,0,0,0,1
Fall,FEMALE,22,3.578,143,0.167,8,Tue,Introductory,2020,0,18,1,0,0,0,0,1
Fall,FEMALE,16,4,123,0.351,9,Tue,Introductory,2019,0,4,1,0,0,0,0,1
Fall,FEMALE,15,3.5,126,-0.5,10,Tue,Introductory,2021,0,1,1,0,0,0,0,1
Fall,FEMALE,16,3.09,157,-0.144,11,Tue,Introductory,2021,0,1,1,0,0,0,0,1
Fall,FEMALE,20,3.526,36,-0.11,12,Tue,Introductory,2017,1,2,0,0,0,0,0,1
Fall,MALE,16,2.687,138,-0.335,10,Tue,Introductory,2018,0,61,0,1,0,0,0,1
Fall,FEMALE,14,2.571,95,0.622,11,Tue,Introductory,2020,0,7,1,1,0,0,0,1
Fall,FEMALE,13,2.1,126,-0.722,12,Tue,Introductory,2019,0,9,1,1,0,0,0,1
Fall,FEMALE,20,3.647,82,-0.033,12,Tue,Introductory,2017,0,11,0,1,0,0,0,1
Fall,FEMALE,15,2.466,123,-0.418,13,Tue,Introductory,2020,0,14,1,0,0,0,0,1
Fall,FEMALE,16,3.625,72,0.07,12,Tue,Introductory,2018,1,7,0,0,0,0,0,1
Fall,MALE,16,3.687,123,-0.04,9,Tue,Introductory,2021,0,14,1,1,0,0,0,1
Fall,MALE,12,3.333,203,-0.403,10,Tue,Introductory,2017,0,30,0,0,0,0,0,1
Fall,FEMALE,19,3.071,142,-0.225,10,Tue,Introductory,2020,0,2,1,1,0,0,0,1
Fall,MALE,12,2.666,133,0.03,11,Tue,Introductory,2018,0,16,0,1,0,0,0,1
Fall,MALE,16,2.714,132,0.033,12,Tue,Introductory,2019,0,44,1,1,0,0,0,1
Fall,FEMALE,15,2,82,-0.328,11,Tue,Introductory,2017,0,17,0,1,0,0,0,1
Fall,FEMALE,18,3.187,141,-0.037,12,Tue,Intermediate,2020,0,28,1,1,0,0,0,1
Fall,MALE,18,3.333,122,0.045,12,Tue,Introductory,2019,0,4,1,1,0,0,0,1
Fall,FEMALE,16,3.062,128,-0.139,11,Tue,Introductory,2020,0,27,1,1,0,0,0,1
Fall,FEMALE,15,4,76,0,12,Tue,Introductory,2017,0,4,0,1,0,0,0,1
Fall,FEMALE,15,2.6,150,-0.42,11,Tue,Introductory,2018,0,12,0,0,0,0,0,1
Fall,MALE,12,2.75,154,0.205,4,Tue,Introductory,2020,0,3,1,1,0,0,0,1
Fall,MALE,15,3,139,0.308,5,Tue,Introductory,2020,0,10,1,1,0,0,0,1
Fall,FEMALE,13,4,129,0,6,Tue,Introductory,2019,0,5,1,1,0,0,0,1
Fall,MALE,16,3.538,129,-0.038,1,Wed,Introductory,2020,0,27,1,1,0,0,0,0
Fall,MALE,12,3,133,-0.266,2,Wed,Introductory,2019,0,16,1,1,0,0,0,0
Fall,FEMALE,6,2.5,105,-0.765,3,Wed,Intermediate,2017,0,5,0,0,1,0,0,0
Fall,FEMALE,15,4,76,0,4,Wed,Introductory,2017,0,4,0,1,0,0,0,0
Fall,MALE,17,2.882,126,0.032,4,Wed,Introductory,2020,0,23,1,1,0,0,0,0
Fall,FEMALE,16,2.875,123,0.217,5,Wed,Introductory,2020,0,25,1,1,0,0,0,0
Fall,MALE,14,2,133,-0.59,6,Wed,Introductory,2018,0,31,0,1,0,0,0,0
Fall,MALE,12,2.25,136,-0.47,7,Wed,Introductory,2020,0,44,1,1,0,0,0,0
Fall,FEMALE,18,4,13,0,5,Wed,Introductory,2019,1,7,1,1,0,0,0,0
Fall,MALE,12,3.75,122,0.154,6,Wed,Introductory,2020,0,1,1,1,0,0,0,0
Fall,MALE,16,3.625,125,0.158,6,Wed,Intermediate,2018,0,25,0,0,0,0,0,0
Fall,MALE,13,3.615,138,-0.201,7,Wed,Introductory,2020,0,26,1,1,0,0,0,0
Fall,FEMALE,16,3.166,127,-0.052,6,Wed,Graduate,2020,0,3,1,1,0,0,0,0
Fall,MALE,10,3.4,145,0.857,7,Wed,Introductory,2018,0,8,0,1,0,0,0,0
Fall,MALE,13,4,145,0.616,7,Wed,Introductory,2020,0,20,1,1,0,0,0,0
Fall,MALE,15,2.25,124,-0.572,7,Wed,Introductory,2020,0,3,1,1,0,0,1,0
Fall,FEMALE,13,3.076,132.5,-0.304,6,Wed,Intermediate,2018,0,11,0,0,1,0,1,0
Fall,MALE,12,2,134,-0.268,6,Wed,Advanced,2020,0,4,1,0,0,0,1,0
Fall,MALE,18,3.833,138,0.659,7,Wed,Introductory,2018,0,16,0,1,0,0,1,0
Fall,FEMALE,21,3.562,150,-0.071,8,Wed,Introductory,2021,0,6,1,1,0,0,1,0
Fall,FEMALE,15,3.666,125,-0.015,7,Wed,Introductory,2020,0,15,1,1,0,0,1,0
Fall,FEMALE,12,2.5,89,-0.817,8,Wed,Introductory,2017,0,47,0,1,0,0,1,0
Fall,MALE,17,3.529,145,-0.232,9,Wed,Introductory,2020,0,12,1,1,0,0,1,0
Fall,MALE,12,3,94,0.214,6,Wed,Introductory,2018,0,1,1,0,0,0,1,0
Fall,FEMALE,13,4,129,0,7,Wed,Introductory,2019,0,5,1,0,0,0,1,0
