Semester,Semester_Week,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Occupancy,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Group_Check_In,Total_Visits
Fall 2016,6,FEMALE,12,3.25,146,3.561,-0.311,15,Sun,19,Advanced,2018,0,2,1,4
Fall 2016,6,MALE,15,4,125,3.833,0.167,14,Sun,19,Introductory,2018,0,1,0,9
Fall 2016,6,FEMALE,20,2.692,131,3.208,-0.516,15,Sun,19,Introductory,2018,0,1,0,13
Fall 2016,6,MALE,14,3,44,2.59,0.41,15,Sun,19,Introductory,2017,1,1,0,35
Fall 2016,6,MALE,14,4,162,3.942,0.058,15,Sun,19,Introductory,2018,0,1,0,10
Fall 2016,6,FEMALE,12,2.5,146,2.166,0.334,13,Sun,19,Advanced,2018,0,1,0,13
Fall 2016,6,MALE,16,2.875,0,3.317,-0.442,13,Sun,19,Introductory,2018,0,2,1,49
Fall 2016,6,MALE,16,2.687,138,3.022,-0.335,14,Sun,19,Introductory,2018,0,2,1,62
Fall 2016,6,FEMALE,18,3.833,142,3.925,-0.092,15,Sun,19,Advanced,2018,0,1,0,8
Fall 2016,6,FEMALE,16,3.625,72,3.555,0.07,16,Sun,19,Introductory,2018,1,1,0,7
Fall 2016,6,MALE,16,3.812,9,4,-0.188,16,Sun,20,Intermediate,2021,0,1,0,5
Fall 2016,6,MALE,19,3.625,126,3.494,0.131,17,Sun,20,Introductory,2018,0,2,1,42
Fall 2016,6,MALE,16,3.307,125,3.213,0.094,18,Sun,20,Introductory,2018,0,2,1,32
Fall 2016,6,FEMALE,18,2.285,139,2.019,0.266,16,Sun,20,Introductory,2019,0,1,0,15
Fall 2016,6,MALE,19,2.111,111,2.64,-0.529,17,Sun,20,Introductory,2021,0,1,0,8
Fall 2016,6,FEMALE,19,4,130,3.588,0.412,12,Sun,21,Introductory,2019,0,1,0,2
Fall 2016,7,MALE,17,3.647,132,3.769,-0.122,1,Mon,8,Introductory,2020,0,1,0,30
Fall 2016,7,MALE,11,2.6,162,3.017,-0.417,2,Mon,8,Introductory,2021,0,1,0,8
Fall 2016,7,MALE,12,2.666,133,2.636,0.03,3,Mon,8,Introductory,2018,0,1,0,17
Fall 2016,7,MALE,18,3.666,159,3.736,-0.07,3,Mon,9,Introductory,2019,0,1,0,71
Fall 2016,7,MALE,14,1.928,122,3.02,-1.092,3,Mon,10,Introductory,2019,0,1,0,68
Fall 2016,7,MALE,14,3,44,2.59,0.41,4,Mon,10,Introductory,2017,1,1,0,35
Fall 2016,7,MALE,16,3.625,122,3.428,0.197,5,Mon,10,Introductory,2020,0,1,0,10
Fall 2016,7,FEMALE,13,3.75,142,2.4,1.35,5,Mon,10,Introductory,2018,0,1,0,59
Fall 2016,7,MALE,15,3.4,128,3.442,-0.042,6,Mon,10,Advanced,2017,0,1,0,17
Fall 2016,7,MALE,16,3.769,125,4,-0.231,7,Mon,10,Introductory,2021,0,1,0,42
Fall 2016,7,MALE,16,4,123,3.918,0.082,8,Mon,10,Intermediate,2018,0,1,0,2
Fall 2016,7,FEMALE,12,3.75,149,3.602,0.148,9,Mon,10,Intermediate,2019,0,1,0,8
Fall 2016,7,MALE,16,2.714,132,2.681,0.033,10,Mon,10,Introductory,2019,0,1,0,45
Fall 2016,7,FEMALE,12,3,130,3.15,-0.15,11,Mon,10,Intermediate,2018,0,1,0,19
Fall 2016,7,MALE,16,3.769,107,3.619,0.15,12,Mon,10,Introductory,2021,0,1,0,45
Fall 2016,7,MALE,15,3.5,89,3.585,-0.085,12,Mon,11,Advanced,2018,0,1,0,12
Fall 2016,7,FEMALE,16,3.062,128,3.201,-0.139,9,Mon,11,Introductory,2020,0,1,0,27
Fall 2016,7,FEMALE,16,2.812,141,3.075,-0.263,9,Mon,11,Intermediate,2017,0,1,0,6
Fall 2016,7,FEMALE,15,3.615,145,3.777,-0.162,10,Mon,11,Introductory,2021,0,1,0,10
Fall 2016,7,MALE,19,3.166,103,2.123,1.043,11,Mon,11,Introductory,2018,0,2,1,1
Fall 2016,7,FEMALE,24,3.055,163,3.297,-0.242,12,Mon,11,Intermediate,2020,0,2,1,22
Fall 2016,7,FEMALE,21,3.562,150,3.633,-0.071,12,Mon,11,Introductory,2021,0,1,0,6
Fall 2016,7,FEMALE,14,2.545,125,2.863,-0.318,10,Mon,11,Introductory,2018,0,1,0,27
Fall 2016,7,FEMALE,15,4,122,3.96,0.04,10,Mon,12,Introductory,2018,0,1,0,10
Fall 2016,7,FEMALE,24,3.4,153,3.431,-0.031,10,Mon,12,Intermediate,2020,0,1,0,83
Fall 2016,7,MALE,15,3,119,3.105,-0.105,10,Mon,12,Introductory,2020,0,1,0,22
Fall 2016,7,MALE,13,1.769,133,2.311,-0.542,8,Mon,12,Intermediate,2018,0,2,1,46
Fall 2016,7,MALE,13,2.846,132,2.472,0.374,9,Mon,12,Introductory,2019,0,2,1,6
Fall 2016,7,FEMALE,14,1.727,134,3.336,-1.609,10,Mon,12,Introductory,2020,0,1,0,8
Fall 2016,7,FEMALE,17,3.058,128,3.233,-0.175,11,Mon,12,Introductory,2021,0,1,0,18
Fall 2016,7,FEMALE,15,3.666,125,3.681,-0.015,12,Mon,12,Introductory,2020,0,1,0,15
Fall 2016,7,FEMALE,16,2.875,123,2.658,0.217,4,Mon,13,Introductory,2020,0,1,0,25
Fall 2016,7,MALE,18,3.166,139,3.272,-0.106,5,Mon,13,Advanced,2017,0,1,0,6
Fall 2016,7,FEMALE,16,4,140,3.909,0.091,6,Mon,13,Introductory,2018,0,1,0,8
Fall 2016,7,FEMALE,13,3.23,35,3.068,0.162,6,Mon,14,Introductory,2017,1,1,0,10
Fall 2016,7,MALE,18,3.6,133,3.015,0.585,6,Mon,14,Introductory,2020,0,1,0,7
Fall 2016,7,FEMALE,16,3.769,130,3.703,0.066,6,Mon,14,Introductory,2018,0,1,0,1
Fall 2016,7,FEMALE,16,3.625,131.33,3.777,-0.152,7,Mon,14,Introductory,2018,0,3,1,1
Fall 2016,7,FEMALE,15,3.8,124,3.86,-0.06,8,Mon,14,Intermediate,2018,0,3,1,1
Fall 2016,7,FEMALE,16,4,123,3.649,0.351,9,Mon,14,Introductory,2019,0,3,1,4
Fall 2016,7,MALE,17,2.812,136,2.63,0.182,10,Mon,14,Introductory,2019,0,2,1,24
Fall 2016,7,FEMALE,20,2.692,131,3.208,-0.516,11,Mon,14,Introductory,2018,0,2,1,13
Fall 2016,7,MALE,18,2.8,165,2.759,0.041,12,Mon,14,Introductory,2019,0,1,0,16
Fall 2016,7,MALE,12,2,159,2.712,-0.712,13,Mon,14,Introductory,2021,0,1,0,10
Fall 2016,7,FEMALE,17,3.117,124,4,-0.883,14,Mon,14,Introductory,2021,0,1,0,10
Fall 2016,7,MALE,16,3.187,119,2.69,0.497,15,Mon,14,Introductory,2017,0,1,0,8
Fall 2016,7,MALE,12,3.5,133,2.962,0.538,16,Mon,14,Advanced,2021,0,2,1,1
Fall 2016,7,MALE,16,2,45,2.21,-0.21,17,Mon,14,Advanced,2018,1,2,1,6
Fall 2016,7,FEMALE,19,3.842,145,3.933,-0.091,18,Mon,14,Introductory,2018,0,1,0,4
Fall 2016,7,MALE,12,3,123,2.905,0.095,18,Mon,14,Advanced,2017,0,1,0,3
Fall 2016,7,FEMALE,16,2.23,121,2.322,-0.092,18,Mon,14,Introductory,2020,0,3,1,4
Fall 2016,7,FEMALE,16,2.615,125,3.008,-0.393,19,Mon,14,Intermediate,2020,0,3,1,44
Fall 2016,7,FEMALE,24,3.4,153,3.431,-0.031,20,Mon,14,Intermediate,2020,0,3,1,83
Fall 2016,7,MALE,13,2.846,15,2.65,0.196,18,Mon,15,Intermediate,2018,0,1,0,32
Fall 2016,7,FEMALE,15,3.8,123,3.866,-0.066,8,Mon,15,Introductory,2018,0,1,0,52
Fall 2016,7,MALE,14,1.928,122,3.02,-1.092,9,Mon,16,Introductory,2019,0,1,0,68
Fall 2016,7,FEMALE,16,2.5,125,3.204,-0.704,10,Mon,16,Intermediate,2018,0,1,0,2
Fall 2016,7,FEMALE,24,4,126,3.833,0.167,10,Mon,16,Introductory,2018,0,1,0,2
Fall 2016,7,FEMALE,15,3.6,129,3.45,0.15,8,Mon,16,Intermediate,2018,0,1,0,20
Fall 2016,7,MALE,6,1.5,148,3.118,-1.618,8,Mon,16,Intermediate,2018,0,1,0,6
Fall 2016,7,MALE,12,3.25,130,3.132,0.118,9,Mon,16,Intermediate,2020,0,1,0,3
Fall 2016,7,MALE,12,3.333,203,3.736,-0.403,9,Mon,16,Introductory,2017,0,1,0,31
Fall 2016,7,MALE,15,2.25,137,2.722,-0.472,9,Mon,16,Advanced,2018,0,2,1,29
Fall 2016,7,FEMALE,18,3.187,141,3.224,-0.037,10,Mon,16,Introductory,2020,0,2,1,28
Fall 2016,7,MALE,18,2.5,148,3,-0.5,11,Mon,16,Advanced,2018,0,1,0,4
Fall 2016,7,FEMALE,17,3.764,123,3.9,-0.136,11,Mon,17,Introductory,2018,0,1,0,21
Fall 2016,7,MALE,12,3,69,2.68,0.32,12,Mon,17,Introductory,2019,0,1,0,8
Fall 2016,7,FEMALE,19,3.176,133,3.701,-0.525,13,Mon,17,Introductory,2020,0,1,0,6
Fall 2016,7,FEMALE,13,3.461,123,3.203,0.258,14,Mon,17,Intermediate,2017,0,1,0,8
Fall 2016,7,MALE,17,3.117,132,2.913,0.204,13,Mon,17,Introductory,2020,0,1,0,42
Fall 2016,7,MALE,15,4,123,3.735,0.265,14,Mon,17,Intermediate,2018,0,1,0,18
Fall 2016,7,MALE,13,2.23,28,2.44,-0.21,13,Mon,17,Introductory,2017,1,1,0,11
Fall 2016,7,FEMALE,14,3,122,3,0,12,Mon,17,Intermediate,2020,0,1,0,19
Fall 2016,7,MALE,14,3.2,131,2.955,0.245,13,Mon,18,Advanced,2018,0,1,0,49
Fall 2016,7,FEMALE,12,3,169,2.726,0.274,14,Mon,18,Introductory,2018,0,1,0,25
Fall 2016,7,MALE,15,2.2,135,2.336,-0.136,15,Mon,18,Intermediate,2020,0,1,0,3
Fall 2016,7,FEMALE,15,2.909,125,2.94,-0.031,13,Mon,18,Introductory,2018,0,2,1,3
Fall 2016,7,FEMALE,17,3.823,125,3.84,-0.017,14,Mon,18,Intermediate,2019,0,2,1,6
Fall 2016,7,MALE,15,2.6,146,3.075,-0.475,15,Mon,18,Introductory,2018,0,1,0,13
Fall 2016,7,MALE,15,2.6,127,2.514,0.086,14,Mon,18,Introductory,2021,0,1,0,25
Fall 2016,7,MALE,12,4,149,3.691,0.309,15,Mon,18,Intermediate,2018,0,1,0,9
Fall 2016,7,FEMALE,15,3.266,126,3.727,-0.461,14,Mon,18,Advanced,2018,0,2,1,16
Fall 2016,7,FEMALE,17,3.176,137,3.53,-0.354,15,Mon,18,Advanced,2018,0,2,1,14
Fall 2016,7,FEMALE,14,3.285,122,3.486,-0.201,16,Mon,18,Advanced,2017,0,1,0,20
Fall 2016,7,FEMALE,19,4,137,3.526,0.474,16,Mon,18,Introductory,2018,0,1,0,11
Fall 2016,7,FEMALE,16,3.461,67,3.633,-0.172,17,Mon,18,Advanced,2017,0,1,0,16
Fall 2016,7,MALE,18,4,178,3.923,0.077,18,Mon,19,Advanced,2018,0,1,0,4
Fall 2016,7,FEMALE,16,3.812,77,3.696,0.116,18,Mon,19,Advanced,2017,0,3,1,7
Fall 2016,7,FEMALE,18,3.833,142,3.925,-0.092,19,Mon,19,Advanced,2018,0,3,1,8
Fall 2016,7,FEMALE,11,2.846,109,2.424,0.422,20,Mon,19,Introductory,2021,0,3,1,4
Fall 2016,7,FEMALE,13,4,145,3.864,0.136,20,Mon,19,Advanced,2018,0,1,0,9
Fall 2016,7,FEMALE,17,3.823,185,3.92,-0.097,21,Mon,19,Advanced,2020,0,1,0,5
Fall 2016,7,FEMALE,11,2.272,132,3.72,-1.448,21,Mon,19,Advanced,2017,0,1,0,4
Fall 2016,7,FEMALE,13,3.461,123,3.203,0.258,22,Mon,19,Intermediate,2017,0,2,1,8
Fall 2016,7,FEMALE,18,3.266,123,3.413,-0.147,23,Mon,19,Advanced,2018,0,2,1,1
Fall 2016,7,FEMALE,13,2.615,127,3.481,-0.866,24,Mon,19,Intermediate,2018,0,1,0,2
Fall 2016,7,FEMALE,16,3.25,131,3.159,0.091,24,Mon,19,Intermediate,2018,0,2,1,19
Fall 2016,7,FEMALE,15,3.8,123,3.866,-0.066,25,Mon,19,Introductory,2018,0,2,1,52
Fall 2016,7,FEMALE,19,3.769,125,3.775,-0.006,24,Mon,19,Introductory,2018,0,1,0,41
Fall 2016,7,MALE,14,3.2,131,2.955,0.245,23,Mon,19,Intermediate,2018,0,1,0,49
Fall 2016,7,FEMALE,22,1.857,125,2.606,-0.749,22,Mon,19,Introductory,2021,0,1,0,25
Fall 2016,7,FEMALE,17,3.583,147,3.801,-0.218,18,Mon,20,Introductory,2018,0,1,0,8
Fall 2016,7,MALE,16,3.923,137,3.755,0.168,15,Mon,20,Introductory,2018,0,1,0,7
Fall 2016,7,MALE,15,2.4,136,2.893,-0.493,1,Tue,8,Introductory,2019,0,1,0,22
Fall 2016,7,MALE,17,3.823,124,3.321,0.502,2,Tue,8,Intermediate,2020,0,1,0,77
Fall 2016,7,FEMALE,20,4,41,3.916,0.084,2,Tue,9,Introductory,2017,1,1,0,19
Fall 2016,7,MALE,15,2.6,140,2.895,-0.295,3,Tue,9,Intermediate,2018,0,1,0,10
Fall 2016,7,MALE,12,3.5,173,3.304,0.196,4,Tue,9,Introductory,2018,0,1,0,29
Fall 2016,7,FEMALE,15,3.533,130,3.734,-0.201,5,Tue,9,Advanced,2018,0,1,0,25
Fall 2016,7,MALE,13,2.23,28,2.44,-0.21,6,Tue,9,Introductory,2017,1,1,0,11
Fall 2016,7,FEMALE,13,2.8,123,3.552,-0.752,7,Tue,10,Intermediate,2019,0,1,0,41
Fall 2016,7,MALE,10,3.1,126,3.571,-0.471,8,Tue,10,Advanced,2017,0,3,1,2
Fall 2016,7,MALE,3,0,136,3.186,-3.186,9,Tue,10,Intermediate,2018,0,3,1,35
Fall 2016,7,MALE,16,4,134,3.5,0.5,10,Tue,10,Intermediate,2020,0,3,1,20
Fall 2016,7,MALE,13,1.769,148,2.072,-0.303,11,Tue,10,Introductory,2019,0,1,0,10
Fall 2016,7,MALE,12,2.25,136,2.72,-0.47,12,Tue,10,Introductory,2020,0,1,0,44
Fall 2016,7,FEMALE,14,3.357,146,3.192,0.165,13,Tue,10,Intermediate,2020,0,1,0,1
Fall 2016,7,FEMALE,18,3.5,146,3.253,0.247,13,Tue,10,Intermediate,2018,0,1,0,4
Fall 2016,7,FEMALE,15,4,163,3.858,0.142,14,Tue,10,Introductory,2018,0,1,0,16
Fall 2016,7,MALE,15,2,9,4,-2,15,Tue,10,Advanced,2021,0,1,0,6
Fall 2016,7,MALE,16,3.812,126,3.715,0.097,7,Tue,11,Advanced,2018,0,1,0,8
Fall 2016,7,FEMALE,12,4,135,3.88,0.12,8,Tue,11,Advanced,2017,0,1,0,9
Fall 2016,7,MALE,13,2.846,15,2.65,0.196,9,Tue,11,Advanced,2018,0,1,0,32
Fall 2016,7,FEMALE,20,2.692,131,3.208,-0.516,10,Tue,11,Introductory,2018,0,1,0,13
Fall 2016,7,FEMALE,16,3.6,128,3.556,0.044,11,Tue,11,Advanced,2017,0,1,0,1
Fall 2016,7,FEMALE,13,3.23,138,3.783,-0.553,11,Tue,11,Introductory,2018,0,1,0,4
Fall 2016,7,FEMALE,16,3.812,126,3.135,0.677,11,Tue,12,Introductory,2020,0,1,0,20
Fall 2016,7,FEMALE,16,2.875,123,3.256,-0.381,10,Tue,12,Advanced,2018,0,1,0,6
Fall 2016,7,MALE,11,3.4,126,3.483,-0.083,11,Tue,12,Advanced,2018,0,1,0,10
Fall 2016,7,FEMALE,17,3,130,3.336,-0.336,12,Tue,12,Introductory,2018,0,1,0,26
Fall 2016,7,FEMALE,23,3.55,170,3.662,-0.112,12,Tue,12,Introductory,2018,0,1,0,3
Fall 2016,7,MALE,16,3.769,107,3.619,0.15,13,Tue,12,Introductory,2021,0,1,0,45
Fall 2016,7,FEMALE,13,2.461,100,3.047,-0.586,13,Tue,12,Introductory,2017,0,1,0,8
Fall 2016,7,FEMALE,18,4,127.5,3.781,0.219,12,Tue,12,Advanced,2017,0,1,0,1
Fall 2016,7,FEMALE,20,4,41,3.916,0.084,13,Tue,12,Introductory,2017,1,1,0,19
Fall 2016,7,FEMALE,14,3.461,150,3.279,0.182,14,Tue,12,Advanced,2019,0,1,0,18
Fall 2016,7,FEMALE,18,3.187,141,3.224,-0.037,14,Tue,12,Introductory,2020,0,1,0,28
Fall 2016,7,FEMALE,24,3.4,153,3.431,-0.031,14,Tue,13,Other,2020,0,1,0,83
Fall 2016,7,MALE,16,3.8,139,3.593,0.207,14,Tue,13,Introductory,2020,0,1,0,36
Fall 2016,7,FEMALE,15,3.2,125,3.341,-0.141,13,Tue,13,Introductory,2018,0,1,0,33
Fall 2016,7,MALE,4,1,150,2.089,-1.089,14,Tue,13,Introductory,2020,0,2,1,8
Fall 2016,7,MALE,3,0,136,3.186,-3.186,15,Tue,13,Introductory,2018,0,2,1,35
Fall 2016,7,FEMALE,14,3.5,122,4,-0.5,14,Tue,13,Intermediate,2021,0,1,0,8
Fall 2016,7,FEMALE,16,3.437,150,3.115,0.322,14,Tue,14,Other,2018,0,1,0,4
Fall 2016,7,MALE,10,2.333,139,2.924,-0.591,15,Tue,14,Intermediate,2018,0,1,0,33
Fall 2016,7,MALE,14,2.437,131,2.748,-0.311,14,Tue,14,Intermediate,2017,0,1,0,13
Fall 2016,7,FEMALE,9,4,135,3.39,0.61,15,Tue,14,Intermediate,2018,0,1,0,8
Fall 2016,7,MALE,17,3.117,132,2.913,0.204,14,Tue,14,Introductory,2020,0,1,0,42
Fall 2016,7,FEMALE,18,3.133,125,4,-0.867,14,Tue,14,Introductory,2021,0,2,1,47
Fall 2016,7,FEMALE,16,3.375,140,3.293,0.082,15,Tue,14,Introductory,2020,0,2,1,2
Fall 2016,7,FEMALE,14,3.461,147,3.31,0.151,15,Tue,14,Intermediate,2018,0,1,0,12
Fall 2016,7,FEMALE,15,2.933,124,2.457,0.476,16,Tue,14,Intermediate,2019,0,2,1,12
Fall 2016,7,MALE,15,3.266,132,3.2,0.066,17,Tue,14,Intermediate,2018,0,2,1,13
Fall 2016,7,MALE,19,4,124,3.816,0.184,18,Tue,14,Intermediate,2018,0,1,0,4
Fall 2016,7,FEMALE,18,3.235,45,3.428,-0.193,19,Tue,14,Introductory,2017,1,1,0,10
Fall 2016,7,FEMALE,13,3.23,138,3.783,-0.553,20,Tue,14,Introductory,2018,0,2,1,4
Fall 2016,7,FEMALE,16,2.937,155,2.949,-0.012,21,Tue,14,Introductory,2020,0,2,1,60
Fall 2016,7,MALE,15,3.6,122,3.68,-0.08,20,Tue,15,Intermediate,2019,0,1,0,31
Fall 2016,7,FEMALE,15,3.8,123,3.866,-0.066,21,Tue,15,Introductory,2018,0,1,0,52
Fall 2016,7,FEMALE,16,3.769,122,3.682,0.087,20,Tue,15,Intermediate,2019,0,1,0,14
Fall 2016,7,FEMALE,15,2.25,118,1.89,0.36,19,Tue,15,Introductory,2021,0,1,0,1
Fall 2016,7,FEMALE,16,3.25,134,3.333,-0.083,18,Tue,15,Intermediate,2018,0,1,0,3
Fall 2016,7,MALE,15,2.25,137,2.722,-0.472,17,Tue,15,Advanced,2018,0,3,1,29
Fall 2016,7,FEMALE,15,4,154,3.508,0.492,18,Tue,15,Introductory,2020,0,3,1,10
Fall 2016,7,FEMALE,24,3.4,153,3.431,-0.031,19,Tue,15,Advanced,2020,0,3,1,83
Fall 2016,7,FEMALE,15,3.6,143,3.437,0.163,19,Tue,15,Intermediate,2021,0,1,0,4
Fall 2016,7,MALE,15,2.25,129,3.039,-0.789,20,Tue,15,Introductory,2020,0,1,0,51
Fall 2016,7,FEMALE,18,2.8,124,2.648,0.152,21,Tue,16,Intermediate,2018,0,2,1,2
Fall 2016,7,FEMALE,14,3.461,150,3.279,0.182,22,Tue,16,Advanced,2019,0,2,1,18
Fall 2016,7,FEMALE,13,3.538,128,3.806,-0.268,21,Tue,16,Introductory,2020,0,1,0,12
Fall 2016,7,FEMALE,16,3.625,133,3.373,0.252,22,Tue,16,Introductory,2020,0,1,0,49
Fall 2016,7,MALE,15,3,144,2.898,0.102,23,Tue,16,Introductory,2019,0,1,0,4
Fall 2016,7,MALE,13,3,123,2.868,0.132,23,Tue,16,Introductory,2020,0,1,0,1
Fall 2016,7,FEMALE,19,4,122,3.848,0.152,24,Tue,16,Intermediate,2018,0,1,0,7
Fall 2016,7,FEMALE,13,3.461,122,3.404,0.057,23,Tue,16,Advanced,2017,0,1,0,11
Fall 2016,7,FEMALE,12,3.333,151,3.795,-0.462,18,Tue,16,Intermediate,2017,0,1,0,27
Fall 2016,7,MALE,17,3.307,127,3.36,-0.053,18,Tue,16,Introductory,2018,0,1,0,1
Fall 2016,7,MALE,16,2.312,46,2.735,-0.423,13,Tue,17,Introductory,2017,1,1,0,19
Fall 2016,7,FEMALE,20,2.692,131,3.208,-0.516,13,Tue,17,Introductory,2018,0,1,0,13
Fall 2016,7,FEMALE,14,3,122,3,0,13,Tue,17,Introductory,2020,0,1,0,19
Fall 2016,7,FEMALE,13,2.692,132,2.881,-0.189,13,Tue,17,Introductory,2020,0,2,1,5
Fall 2016,7,FEMALE,16,3.625,126,3.447,0.178,14,Tue,17,Introductory,2020,0,2,1,7
Fall 2016,7,FEMALE,23,3.55,170,3.662,-0.112,15,Tue,17,Introductory,2018,0,2,1,3
Fall 2016,7,FEMALE,15,2.466,123,2.884,-0.418,16,Tue,17,Introductory,2020,0,2,1,14
Fall 2016,7,FEMALE,18,2.555,148,2.746,-0.191,17,Tue,17,Introductory,2017,0,2,1,4
Fall 2016,7,FEMALE,17,3.571,147,3.632,-0.061,18,Tue,17,Introductory,2021,0,2,1,6
Fall 2016,7,FEMALE,15,2.666,134,2.474,0.192,19,Tue,17,Introductory,2020,0,1,0,5
Fall 2016,7,MALE,15,2,125,2.131,-0.131,16,Tue,17,Introductory,2018,0,1,0,5
Fall 2016,7,FEMALE,14,1.727,134,3.336,-1.609,17,Tue,17,Introductory,2020,0,2,1,8
Fall 2016,7,FEMALE,16,3.25,47,3.136,0.114,18,Tue,17,Introductory,2017,1,2,1,11
Fall 2016,7,FEMALE,20,3.647,82,3.68,-0.033,19,Tue,17,Introductory,2017,0,1,0,11
Fall 2016,7,MALE,12,3.333,203,3.736,-0.403,19,Tue,17,Introductory,2017,0,1,0,31
Fall 2016,7,FEMALE,16,3.692,124,3.835,-0.143,20,Tue,17,Advanced,2018,0,1,0,1
Fall 2016,7,MALE,18,3.111,173,3.338,-0.227,21,Tue,17,Introductory,2018,0,1,0,2
Fall 2016,7,FEMALE,17,3.785,134,4,-0.215,22,Tue,17,Intermediate,2017,0,2,1,2
Fall 2016,7,MALE,11,3.454,96,3.276,0.178,23,Tue,17,Advanced,2017,0,2,1,5
Fall 2016,7,MALE,16,2.8,109,2.759,0.041,24,Tue,18,Advanced,2021,0,1,0,13
Fall 2016,7,FEMALE,13,3.461,123,3.203,0.258,23,Tue,18,Intermediate,2017,0,1,0,8
Fall 2016,7,FEMALE,20,2.625,87,1.682,0.943,24,Tue,18,Advanced,2019,0,1,0,3
Fall 2016,7,MALE,19,3.625,126,3.494,0.131,20,Tue,18,Intermediate,2018,0,1,0,42
Fall 2016,7,MALE,12,3.181,127,3.777,-0.596,21,Tue,18,Advanced,2018,0,1,0,2
Fall 2016,7,FEMALE,15,2.75,122,3.189,-0.439,21,Tue,18,Introductory,2018,0,1,0,7
Fall 2016,7,FEMALE,15,3.466,124,3.38,0.086,22,Tue,18,Introductory,2018,0,1,0,10
Fall 2016,7,FEMALE,14,3.285,122,3.486,-0.201,20,Tue,18,Advanced,2017,0,1,0,20
Fall 2016,7,FEMALE,17,3.176,137,3.53,-0.354,20,Tue,18,Advanced,2018,0,1,0,14
Fall 2016,7,FEMALE,18,4,132,3.841,0.159,21,Tue,18,Intermediate,2018,0,1,0,18
Fall 2016,7,MALE,10,4,141,3.87,0.13,22,Tue,18,Advanced,2017,0,2,1,2
Fall 2016,7,MALE,14,3.5,30,3.73,-0.23,23,Tue,18,Introductory,2017,1,2,1,2
Fall 2016,7,FEMALE,16,3.461,67,3.633,-0.172,23,Tue,18,Advanced,2017,0,1,0,16
Fall 2016,7,FEMALE,17,3.823,185,3.92,-0.097,24,Tue,19,Advanced,2020,0,2,1,5
Fall 2016,7,FEMALE,16,1.6,40,2.136,-0.536,25,Tue,19,Introductory,2018,1,2,1,16
Fall 2016,7,FEMALE,16,3.812,77,3.696,0.116,25,Tue,19,Advanced,2017,0,1,0,7
Fall 2016,7,FEMALE,12,1.833,144,2.872,-1.039,25,Tue,19,Advanced,2017,0,1,0,1
Fall 2016,7,MALE,15,2.8,134,2.877,-0.077,22,Tue,19,Introductory,2019,0,1,0,4
Fall 2016,7,MALE,16,2.375,145,2.36,0.015,22,Tue,19,Advanced,2018,0,1,0,3
Fall 2016,7,FEMALE,16,3.533,146,3.578,-0.045,23,Tue,19,Advanced,2018,0,1,0,5
Fall 2016,7,MALE,16,3.437,161,3.282,0.155,21,Tue,19,Intermediate,2018,0,1,0,6
Fall 2016,7,MALE,13,3,103,2.074,0.926,22,Tue,19,Introductory,2021,0,2,1,5
Fall 2016,7,FEMALE,18,3.833,142,3.925,-0.092,23,Tue,19,Advanced,2018,0,2,1,8
Fall 2016,7,FEMALE,13,2.8,123,3.552,-0.752,24,Tue,19,Intermediate,2019,0,1,0,41
Fall 2016,7,FEMALE,15,2.583,133,2.972,-0.389,21,Tue,20,Introductory,2019,0,1,0,21
Fall 2016,7,FEMALE,22,3.578,143,3.411,0.167,19,Tue,20,Introductory,2020,0,1,0,18
Fall 2016,7,MALE,18,3.166,152,2.64,0.526,14,Tue,20,Intermediate,2018,0,1,0,15
Fall 2016,7,FEMALE,14,2.857,135,3.286,-0.429,13,Tue,20,Introductory,2019,0,1,0,1
Fall 2016,7,FEMALE,12,4,140.02,3,1,1,Wed,9,Advanced,2020,0,1,0,5
Fall 2016,7,MALE,16,3.538,129,3.576,-0.038,2,Wed,9,Introductory,2020,0,2,1,27
Fall 2016,7,MALE,17,4,31,4,0,3,Wed,9,Introductory,2017,1,2,1,41
Fall 2016,7,MALE,15,3,167,3.085,-0.085,4,Wed,9,Introductory,2020,0,1,0,5
Fall 2016,7,FEMALE,15,3.8,123,3.866,-0.066,3,Wed,10,Introductory,2018,0,1,0,52
Fall 2016,7,MALE,15,3.4,128,3.442,-0.042,4,Wed,10,Advanced,2017,0,2,1,17
Fall 2016,7,MALE,18,2.666,129,2.686,-0.02,5,Wed,10,Advanced,2017,0,2,1,7
Fall 2016,7,FEMALE,13,2.846,129,3.084,-0.238,6,Wed,10,Introductory,2017,0,1,0,2
Fall 2016,7,MALE,13,2.076,133,3.039,-0.963,7,Wed,10,Introductory,2020,0,1,0,68
Fall 2016,7,FEMALE,12,3,130,3.15,-0.15,5,Wed,10,Intermediate,2018,0,1,0,19
Fall 2016,7,MALE,15,3.5,89,3.585,-0.085,6,Wed,10,Advanced,2018,0,1,0,12
Fall 2016,7,FEMALE,13,2.8,123,3.552,-0.752,6,Wed,11,Intermediate,2019,0,1,0,41
Fall 2016,7,FEMALE,16,3.25,127,3.241,0.009,7,Wed,11,Advanced,2017,0,1,0,8
Fall 2016,7,FEMALE,19,2.75,100,2.75,0,7,Wed,11,Introductory,2018,1,2,1,2
