Semester,Semester_Week,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Occupancy,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Group_Check_In,Total_Visits
Fall 2016,2,MALE,15,3,167,3.085,-0.085,9,Tue,15,Introductory,2020,0,1,0,5
Fall 2016,2,FEMALE,6,0,12,3,-3,7,Tue,15,Advanced,2020,0,1,0,21
Fall 2016,2,FEMALE,13,3.23,35,3.068,0.162,6,Tue,15,Introductory,2017,1,1,0,10
Fall 2016,2,FEMALE,15,1.818,148,2.871,-1.053,6,Tue,15,Intermediate,2018,0,1,0,4
Fall 2016,2,MALE,15,2.25,137,2.722,-0.472,7,Tue,15,Advanced,2018,0,1,0,29
Fall 2016,2,MALE,14,3.142,122,3.191,-0.049,8,Tue,15,Introductory,2018,0,2,1,1
Fall 2016,2,MALE,23,3.187,127,2.934,0.253,9,Tue,15,Introductory,2018,0,2,1,1
Fall 2016,2,MALE,16,3.307,125,3.213,0.094,7,Tue,16,Introductory,2018,0,1,0,32
Fall 2016,2,MALE,16,3.076,123,3.117,-0.041,7,Tue,16,Introductory,2020,0,1,0,33
Fall 2016,2,MALE,18,4,169,3.976,0.024,8,Tue,16,Advanced,2017,0,1,0,7
Fall 2016,2,FEMALE,12,1,79,2.535,-1.535,6,Tue,16,Intermediate,2018,0,1,0,9
Fall 2016,2,FEMALE,13,1.714,65,2.333,-0.619,7,Tue,16,Intermediate,2018,1,1,0,2
Fall 2016,2,FEMALE,14,1.727,134,3.336,-1.609,6,Tue,17,Introductory,2020,0,1,0,8
Fall 2016,2,MALE,14,3.5,30,3.73,-0.23,6,Tue,17,Introductory,2017,1,2,1,2
Fall 2016,2,MALE,12,3.75,148,3.385,0.365,7,Tue,17,Introductory,2018,0,2,1,8
Fall 2016,2,FEMALE,17,3.294,134,3.214,0.08,8,Tue,17,Introductory,2018,0,1,0,22
Fall 2016,2,FEMALE,22,3.578,143,3.411,0.167,9,Tue,17,Introductory,2020,0,1,0,18
Fall 2016,2,FEMALE,16,4,123,3.649,0.351,10,Tue,17,Introductory,2019,0,1,0,4
Fall 2016,2,FEMALE,15,3.5,126,4,-0.5,11,Tue,17,Introductory,2021,0,3,1,1
Fall 2016,2,FEMALE,16,3.09,157,3.234,-0.144,12,Tue,17,Introductory,2021,0,3,1,1
Fall 2016,2,FEMALE,20,3.526,36,3.636,-0.11,13,Tue,17,Introductory,2017,1,3,1,2
Fall 2016,2,MALE,16,2.687,138,3.022,-0.335,11,Tue,17,Introductory,2018,0,1,0,62
Fall 2016,2,FEMALE,14,2.571,95,1.949,0.622,12,Tue,17,Introductory,2020,0,1,0,7
Fall 2016,2,FEMALE,13,2.1,126,2.822,-0.722,13,Tue,18,Introductory,2019,0,1,0,9
Fall 2016,2,FEMALE,20,3.647,82,3.68,-0.033,13,Tue,18,Introductory,2017,0,1,0,11
Fall 2016,2,FEMALE,15,2.466,123,2.884,-0.418,14,Tue,18,Introductory,2020,0,1,0,14
Fall 2016,2,FEMALE,16,3.625,72,3.555,0.07,13,Tue,18,Introductory,2018,1,1,0,7
Fall 2016,2,MALE,16,3.687,123,3.727,-0.04,10,Tue,18,Introductory,2021,0,1,0,14
Fall 2016,2,MALE,12,3.333,203,3.736,-0.403,10,Tue,19,Introductory,2017,0,1,0,31
Fall 2016,2,FEMALE,19,3.071,142,3.296,-0.225,10,Tue,19,Introductory,2020,0,1,0,2
Fall 2016,2,MALE,12,2.666,133,2.636,0.03,11,Tue,19,Introductory,2018,0,1,0,17
Fall 2016,2,MALE,16,2.714,132,2.681,0.033,12,Tue,19,Introductory,2019,0,1,0,45
Fall 2016,2,FEMALE,15,2,82,2.328,-0.328,11,Tue,19,Introductory,2017,0,1,0,17
Fall 2016,2,FEMALE,18,3.187,141,3.224,-0.037,12,Tue,19,Intermediate,2020,0,1,0,28
Fall 2016,2,MALE,18,3.333,122,3.288,0.045,12,Tue,19,Introductory,2019,0,1,0,4
Fall 2016,2,FEMALE,16,3.062,128,3.201,-0.139,11,Tue,19,Introductory,2020,0,1,0,27
Fall 2016,2,FEMALE,15,4,76,4,0,12,Tue,20,Introductory,2017,0,1,0,4
Fall 2016,2,FEMALE,15,2.6,150,3.02,-0.42,11,Tue,20,Introductory,2018,0,1,0,14
Fall 2016,2,MALE,12,2.75,154,2.545,0.205,4,Tue,21,Introductory,2020,0,1,0,3
Fall 2016,2,MALE,15,3,139,2.692,0.308,5,Tue,21,Introductory,2020,0,1,0,10
Fall 2016,2,FEMALE,13,4,129,4,0,6,Tue,21,Introductory,2019,0,1,0,5
Fall 2016,2,MALE,16,3.538,129,3.576,-0.038,1,Wed,9,Introductory,2020,0,2,1,27
Fall 2016,2,MALE,12,3,133,3.266,-0.266,2,Wed,9,Introductory,2019,0,2,1,16
Fall 2016,2,FEMALE,6,2.5,105,3.265,-0.765,3,Wed,9,Intermediate,2017,0,1,0,5
Fall 2016,2,FEMALE,15,4,76,4,0,4,Wed,9,Introductory,2017,0,1,0,4
Fall 2016,2,MALE,17,2.882,126,2.85,0.032,4,Wed,10,Introductory,2020,0,1,0,23
Fall 2016,2,FEMALE,16,2.875,123,2.658,0.217,5,Wed,10,Introductory,2020,0,1,0,25
Fall 2016,2,MALE,14,2,133,2.59,-0.59,6,Wed,10,Introductory,2018,0,1,0,31
Fall 2016,2,MALE,12,2.25,136,2.72,-0.47,7,Wed,10,Introductory,2020,0,1,0,44
Fall 2016,2,FEMALE,18,4,13,4,0,5,Wed,11,Introductory,2019,1,1,0,7
Fall 2016,2,MALE,12,3.75,122,3.596,0.154,6,Wed,11,Introductory,2020,0,1,0,1
Fall 2016,2,MALE,16,3.625,125,3.467,0.158,6,Wed,11,Intermediate,2018,0,1,0,25
Fall 2016,2,MALE,13,3.615,138,3.816,-0.201,7,Wed,11,Introductory,2020,0,1,0,26
Fall 2016,2,FEMALE,16,3.166,127,3.218,-0.052,6,Wed,11,Advanced,2020,0,1,0,3
Fall 2016,2,MALE,10,3.4,145,2.543,0.857,7,Wed,11,Introductory,2018,0,1,0,8
