Semester,Semester_Week,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Total_Visits
Fall 2016,2,62,MALE,18,4,169,3.976,0.024,Tue,16,Advanced,2017,0,1,7
Fall 2016,2,130,FEMALE,12,1,79,2.535,-1.535,Tue,16,Intermediate,2018,0,1,9
Fall 2016,2,38,FEMALE,13,1.714,65,2.333,-0.619,Tue,16,Intermediate,2018,1,1,2
Fall 2016,2,56,FEMALE,14,1.727,134,3.336,-1.609,Tue,17,Introductory,2020,0,1,8
Fall 2016,2,21,MALE,14,3.5,30,3.73,-0.23,Tue,17,Introductory,2017,1,2,2
Fall 2016,2,119,MALE,12,3.75,148,3.385,0.365,Tue,17,Introductory,2018,0,2,8
Fall 2016,2,95,FEMALE,17,3.294,134,3.214,0.08,Tue,17,Introductory,2018,0,1,22
Fall 2016,2,12,FEMALE,22,3.578,143,3.411,0.167,Tue,17,Introductory,2020,0,1,18
Fall 2016,2,24,FEMALE,16,4,123,3.649,0.351,Tue,17,Introductory,2019,0,1,4
Fall 2016,2,62,FEMALE,15,3.5,126,4,-0.5,Tue,17,Introductory,2021,0,3,1
Fall 2016,2,61,FEMALE,16,3.09,157,3.234,-0.144,Tue,17,Introductory,2021,0,3,1
Fall 2016,2,61,FEMALE,20,3.526,36,3.636,-0.11,Tue,17,Introductory,2017,1,3,2
Fall 2016,2,66,MALE,16,2.687,138,3.022,-0.335,Tue,17,Introductory,2018,0,1,62
Fall 2016,2,138,FEMALE,14,2.571,95,1.949,0.622,Tue,17,Introductory,2020,0,1,7
Fall 2016,2,131,FEMALE,13,2.1,126,2.822,-0.722,Tue,18,Introductory,2019,0,1,9
Fall 2016,2,94,FEMALE,20,3.647,82,3.68,-0.033,Tue,18,Introductory,2017,0,1,11
Fall 2016,2,120,FEMALE,15,2.466,123,2.884,-0.418,Tue,18,Introductory,2020,0,1,14
Fall 2016,2,123,FEMALE,16,3.625,72,3.555,0.07,Tue,18,Introductory,2018,1,1,7
Fall 2016,2,22,MALE,16,3.687,123,3.727,-0.04,Tue,18,Introductory,2021,0,1,14
Fall 2016,2,85,MALE,12,3.333,203,3.736,-0.403,Tue,19,Introductory,2017,0,1,31
Fall 2016,2,160,FEMALE,19,3.071,142,3.296,-0.225,Tue,19,Introductory,2020,0,1,2
Fall 2016,2,74,MALE,12,2.666,133,2.636,0.03,Tue,19,Introductory,2018,0,1,17
Fall 2016,2,45,MALE,16,2.714,132,2.681,0.033,Tue,19,Introductory,2019,0,1,45
Fall 2016,2,44,FEMALE,15,2,82,2.328,-0.328,Tue,19,Introductory,2017,0,1,17
Fall 2016,2,76,FEMALE,18,3.187,141,3.224,-0.037,Tue,19,Intermediate,2020,0,1,28
Fall 2016,2,27,MALE,18,3.333,122,3.288,0.045,Tue,19,Introductory,2019,0,1,4
Fall 2016,2,28,FEMALE,16,3.062,128,3.201,-0.139,Tue,19,Introductory,2020,0,1,27
Fall 2016,2,108,FEMALE,15,4,76,4,0,Tue,20,Introductory,2017,0,1,4
Fall 2016,2,94,FEMALE,15,2.6,150,3.02,-0.42,Tue,20,Introductory,2018,0,1,14
Fall 2016,2,54,MALE,12,2.75,154,2.545,0.205,Tue,21,Introductory,2020,0,1,3
Fall 2016,2,45,MALE,15,3,139,2.692,0.308,Tue,21,Introductory,2020,0,1,10
Fall 2016,2,20,FEMALE,13,4,129,4,0,Tue,21,Introductory,2019,0,1,5
Fall 2016,2,33,MALE,16,3.538,129,3.576,-0.038,Wed,9,Introductory,2020,0,2,27
Fall 2016,2,99,MALE,12,3,133,3.266,-0.266,Wed,9,Introductory,2019,0,2,16
Fall 2016,2,87,FEMALE,6,2.5,105,3.265,-0.765,Wed,9,Intermediate,2017,0,1,5
Fall 2016,2,145,FEMALE,15,4,76,4,0,Wed,9,Introductory,2017,0,1,4
Fall 2016,2,74,MALE,17,2.882,126,2.85,0.032,Wed,10,Introductory,2020,0,1,23
Fall 2016,2,33,FEMALE,16,2.875,123,2.658,0.217,Wed,10,Introductory,2020,0,1,25
Fall 2016,2,69,MALE,14,2,133,2.59,-0.59,Wed,10,Introductory,2018,0,1,31
Fall 2016,2,48,MALE,12,2.25,136,2.72,-0.47,Wed,10,Introductory,2020,0,1,44
Fall 2016,2,65,FEMALE,18,4,13,4,0,Wed,11,Introductory,2019,1,1,7
Fall 2016,2,65,MALE,12,3.75,122,3.596,0.154,Wed,11,Introductory,2020,0,1,1
Fall 2016,2,24,MALE,16,3.625,125,3.467,0.158,Wed,11,Intermediate,2018,0,1,25
Fall 2016,2,68,MALE,13,3.615,138,3.816,-0.201,Wed,11,Introductory,2020,0,1,26
Fall 2016,2,29,FEMALE,16,3.166,127,3.218,-0.052,Wed,11,Advanced,2020,0,1,3
Fall 2016,2,71,MALE,10,3.4,145,2.543,0.857,Wed,11,Introductory,2018,0,1,8
Fall 2016,2,62,MALE,13,4,145,3.384,0.616,Wed,11,Introductory,2020,0,1,20
Fall 2016,2,34,MALE,15,2.25,124,2.822,-0.572,Wed,12,Introductory,2020,0,1,3
Fall 2016,2,53,FEMALE,13,3.076,132.5,3.38,-0.304,Wed,12,Intermediate,2018,0,1,11
Fall 2016,2,119,MALE,12,2,134,2.268,-0.268,Wed,12,Advanced,2020,0,3,4
Fall 2016,2,100,MALE,18,3.833,138,3.174,0.659,Wed,12,Introductory,2018,0,3,16
Fall 2016,2,26,FEMALE,21,3.562,150,3.633,-0.071,Wed,12,Introductory,2021,0,3,6
Fall 2016,2,258,FEMALE,15,3.666,125,3.681,-0.015,Wed,12,Introductory,2020,0,1,15
Fall 2016,2,146,FEMALE,12,2.5,89,3.317,-0.817,Wed,12,Introductory,2017,0,1,49
Fall 2016,2,88,MALE,17,3.529,145,3.761,-0.232,Wed,12,Introductory,2020,0,1,12
Fall 2016,2,224,MALE,12,3,94,2.786,0.214,Wed,13,Introductory,2018,0,1,1
Fall 2016,2,160,FEMALE,13,4,129,4,0,Wed,13,Introductory,2019,0,1,5
Fall 2016,2,85,MALE,12,2.333,129,3.138,-0.805,Wed,13,Introductory,2017,0,1,4
Fall 2016,2,66,MALE,17,3.647,123,3.287,0.36,Wed,13,Introductory,2019,0,1,14
Fall 2016,2,104,MALE,15,3.066,122,3.106,-0.04,Wed,14,Introductory,2020,0,1,1
Fall 2016,2,89,MALE,12,4,134,3.218,0.782,Wed,14,Advanced,2017,0,1,11
Fall 2016,2,74,FEMALE,16,3.307,130,2.664,0.643,Wed,14,Intermediate,2020,0,1,11
Fall 2016,2,24,FEMALE,19,3.25,141,3.647,-0.397,Wed,14,Intermediate,2018,0,1,6
Fall 2016,2,86,MALE,14,0,8,1.437,-1.437,Wed,14,Introductory,2017,1,1,26
Fall 2016,2,71,MALE,12,3,69,2.68,0.32,Wed,14,Introductory,2019,0,1,8
Fall 2016,2,46,FEMALE,12,1,79,2.535,-1.535,Wed,14,Introductory,2018,0,1,9
Fall 2016,2,148,MALE,12,2.25,136,2.72,-0.47,Wed,15,Introductory,2020,0,1,44
Fall 2016,2,66,MALE,18,3.666,159,3.736,-0.07,Wed,15,Introductory,2019,0,1,71
