Semester,Semester_Week,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Total_Visits
Fall 2016,3,87,MALE,7,3,155,2.18,0.82,Thu,19,Introductory,2020,0,1,11
Fall 2016,3,22,FEMALE,1,3,122,3.347,-0.347,Thu,19,Introductory,2018,0,1,1
Fall 2016,3,110,MALE,13,2.384,127,2.758,-0.374,Thu,20,Introductory,2019,0,1,19
Fall 2016,3,42,MALE,16,3.437,138,3.293,0.144,Thu,20,Introductory,2020,0,1,21
Fall 2016,3,27,FEMALE,17,3,138,3.594,-0.594,Thu,20,Introductory,2018,0,1,3
Fall 2016,3,21,FEMALE,22,3.578,143,3.411,0.167,Thu,20,Introductory,2020,0,1,18
Fall 2016,3,36,FEMALE,21,3.8,108,3.45,0.35,Thu,21,Introductory,2018,0,1,7
Fall 2016,3,30,FEMALE,17,3.785,138,3.721,0.064,Thu,21,Intermediate,2018,0,1,15
Fall 2016,3,23,MALE,11,2.6,162,3.017,-0.417,Fri,8,Introductory,2021,0,1,8
Fall 2016,3,88,MALE,18,3.666,159,3.736,-0.07,Fri,9,Introductory,2019,0,1,71
Fall 2016,3,111,FEMALE,13,3.75,142,2.4,1.35,Fri,9,Introductory,2018,0,1,59
Fall 2016,3,125,MALE,17,3.647,132,3.769,-0.122,Fri,9,Introductory,2020,0,1,30
Fall 2016,3,31,MALE,17,3.4,126,2.938,0.462,Fri,9,Introductory,2020,0,1,1
Fall 2016,3,122,MALE,16,3.692,122,3.33,0.362,Fri,10,Introductory,2020,0,2,19
Fall 2016,3,123,MALE,17,2.882,126,2.85,0.032,Fri,10,Introductory,2020,0,2,23
Fall 2016,3,35,FEMALE,19,3.842,166,3.666,0.176,Fri,10,Introductory,2018,0,1,13
Fall 2016,3,92,MALE,16,3.769,125,4,-0.231,Fri,10,Introductory,2021,0,1,42
Fall 2016,3,75,FEMALE,16,2.875,123,2.658,0.217,Fri,10,Introductory,2020,0,1,25
Fall 2016,3,29,FEMALE,16,3.769,129,3.577,0.192,Fri,11,Introductory,2020,0,1,30
Fall 2016,3,36,FEMALE,21,3.8,108,3.45,0.35,Fri,11,Introductory,2018,0,1,7
Fall 2016,3,124,FEMALE,13,2.1,126,2.822,-0.722,Fri,11,Introductory,2019,0,1,9
Fall 2016,3,13,FEMALE,18,2.75,30,3.375,-0.625,Fri,11,Intermediate,2017,0,1,6
Fall 2016,3,74,FEMALE,13,3.153,129,2.078,1.075,Fri,11,Introductory,2019,0,1,1
Fall 2016,3,7,MALE,13,3.769,128,3.588,0.181,Fri,11,Introductory,2020,0,1,64
Fall 2016,3,125,MALE,15,3.666,123,3.57,0.096,Fri,12,Other,2020,0,1,60
Fall 2016,3,54,FEMALE,18,3,139,3.553,-0.553,Fri,12,Introductory,2020,0,1,2
Fall 2016,3,26,FEMALE,16,4,132,3.917,0.083,Fri,12,Introductory,2018,0,1,15
Fall 2016,3,37,FEMALE,12,2.5,123,3.216,-0.716,Fri,12,Introductory,2018,0,1,2
Fall 2016,3,37,MALE,13,3.769,128,3.588,0.181,Fri,12,Introductory,2020,0,1,64
Fall 2016,3,30,MALE,16,2.312,131,2.562,-0.25,Fri,12,Intermediate,2020,0,1,12
Fall 2016,3,64,MALE,12,2.666,133,2.636,0.03,Fri,14,Introductory,2018,0,1,17
Fall 2016,3,60,MALE,13,4,145,3.384,0.616,Fri,14,Introductory,2020,0,1,20
Fall 2016,3,51,MALE,16,2.714,132,2.681,0.033,Fri,14,Introductory,2019,0,1,45
Fall 2016,3,24,MALE,17,3.647,123,3.287,0.36,Fri,14,Introductory,2019,0,1,14
Fall 2016,3,25,MALE,16,3.187,137,2.937,0.25,Fri,14,Introductory,2020,0,1,1
Fall 2016,3,88,FEMALE,15,3.8,123,3.866,-0.066,Fri,14,Introductory,2018,0,1,52
Fall 2016,3,21,FEMALE,18,4,13,4,0,Fri,15,Introductory,2019,1,1,7
Fall 2016,3,69,FEMALE,13,3,164,3.346,-0.346,Fri,15,Intermediate,2018,0,1,3
Fall 2016,3,65,MALE,18,2.8,165,2.759,0.041,Fri,15,Introductory,2019,0,1,16
Fall 2016,3,56,FEMALE,12,3,169,2.726,0.274,Fri,15,Introductory,2018,0,1,25
Fall 2016,3,77,MALE,14,3.142,158.19,3.106,0.036,Fri,15,Introductory,2018,0,1,26
Fall 2016,3,132,FEMALE,15,3.4,122,3.358,0.042,Sun,18,Advanced,2018,0,1,3
Fall 2016,3,94,FEMALE,12,4,135,3.88,0.12,Sun,18,Advanced,2017,0,1,9
Fall 2016,3,143,FEMALE,12,2.666,143,3.465,-0.799,Sun,18,Introductory,2021,0,1,6
Fall 2016,3,62,MALE,19,3.625,126,3.494,0.131,Sun,18,Introductory,2018,0,1,42
Fall 2016,3,87,FEMALE,17,4,137,3.486,0.514,Sun,18,Introductory,2020,0,1,14
Fall 2016,3,122,FEMALE,12,3.25,146,3.561,-0.311,Sun,18,Advanced,2018,0,1,4
Fall 2016,3,93,MALE,18,3.666,159,3.736,-0.07,Sun,19,Introductory,2019,0,1,71
Fall 2016,3,124,FEMALE,15,3.8,123,3.866,-0.066,Sun,19,Introductory,2018,0,1,52
Fall 2016,3,34,FEMALE,20,2.692,131,3.208,-0.516,Sun,19,Introductory,2018,0,1,13
Fall 2016,3,52,FEMALE,20,3.647,174,3.859,-0.212,Sun,20,Advanced,2018,0,1,9
Fall 2016,3,84,FEMALE,15,3.5,126,3.576,-0.076,Sun,20,Advanced,2020,0,2,14
Fall 2016,3,84,FEMALE,16,3.437,150,3.84,-0.403,Sun,20,Advanced,2020,0,2,2
Fall 2016,3,51,MALE,16,3.307,125,3.213,0.094,Sun,21,Introductory,2018,0,1,32
Fall 2016,3,50,MALE,19,3.625,126,3.494,0.131,Sun,21,Introductory,2018,0,1,42
Fall 2016,3,22,MALE,14,0,8,1.437,-1.437,Sun,21,Introductory,2017,1,1,26
Fall 2016,4,179,MALE,12,2.666,133,2.636,0.03,Mon,9,Introductory,2018,0,1,17
Fall 2016,4,127,MALE,17,3.647,132,3.769,-0.122,Mon,9,Introductory,2020,0,1,30
Fall 2016,4,153,FEMALE,15,4,76,4,0,Mon,9,Introductory,2017,0,1,4
Fall 2016,4,49,MALE,14,1.928,122,3.02,-1.092,Mon,10,Introductory,2019,0,1,68
Fall 2016,4,122,FEMALE,13,3.75,142,2.4,1.35,Mon,10,Introductory,2018,0,1,59
Fall 2016,4,166,FEMALE,20,4,41,3.916,0.084,Mon,10,Introductory,2017,1,1,19
Fall 2016,4,19,FEMALE,19,4,154,3.394,0.606,Mon,10,Intermediate,2018,0,2,2
Fall 2016,4,49,MALE,16,3.437,123,3.281,0.156,Mon,10,Intermediate,2019,0,2,2
Fall 2016,4,50,MALE,9,0.666,68,2.115,-1.449,Mon,10,Introductory,2018,0,2,2
Fall 2016,4,91,MALE,8,2.666,123,2.619,0.047,Mon,10,Introductory,2018,0,2,5
Fall 2016,4,34,FEMALE,19,3.25,141,3.647,-0.397,Mon,10,Intermediate,2018,0,1,6
Fall 2016,4,50,MALE,12,2.25,136,2.72,-0.47,Mon,10,Introductory,2020,0,1,44
Fall 2016,4,34,MALE,16,3.769,125,4,-0.231,Mon,11,Introductory,2021,0,1,42
Fall 2016,4,176,MALE,17,3,148,2.812,0.188,Mon,11,Introductory,2018,0,1,47
Fall 2016,4,23,MALE,16,3.625,122,3.428,0.197,Mon,11,Introductory,2020,0,1,10
Fall 2016,4,74,FEMALE,18,2.888,151,3.226,-0.338,Mon,11,Introductory,2020,0,1,14
Fall 2016,4,82,FEMALE,16,2.769,144,2.854,-0.085,Mon,11,Introductory,2018,0,1,24
Fall 2016,4,135,MALE,9,2,24,1.962,0.038,Mon,11,Introductory,2018,1,1,6
Fall 2016,4,62,FEMALE,17,4,142,3.811,0.189,Mon,12,Intermediate,2018,0,2,13
Fall 2016,4,61,FEMALE,17,3.941,136,3.865,0.076,Mon,12,Intermediate,2018,0,2,1
Fall 2016,4,95,MALE,17,3.571,133,2.978,0.593,Mon,12,Introductory,2018,0,2,20
Fall 2016,4,14,MALE,20,3.5,123,3.475,0.025,Mon,12,Intermediate,2018,0,2,13
Fall 2016,4,18,MALE,7,3,155,2.18,0.82,Mon,12,Introductory,2020,0,2,11
Fall 2016,4,46,MALE,16,3.076,63,2.964,0.112,Mon,12,Introductory,2017,0,2,25
Fall 2016,4,34,MALE,15,3,119,3.105,-0.105,Mon,12,Introductory,2020,0,1,22
Fall 2016,4,151,FEMALE,16,3.562,135,3.191,0.371,Mon,12,Intermediate,2018,0,1,9
Fall 2016,4,61,FEMALE,14,4,176,3.625,0.375,Mon,13,Introductory,2020,0,3,30
Fall 2016,4,61,FEMALE,16,3.625,133,3.373,0.252,Mon,13,Introductory,2020,0,3,49
Fall 2016,4,59,FEMALE,16,2.875,123,2.658,0.217,Mon,13,Introductory,2020,0,3,25
Fall 2016,4,46,MALE,12,3,123,2.905,0.095,Mon,13,Advanced,2017,0,1,3
Fall 2016,4,26,MALE,16,4,138,3.488,0.512,Mon,13,Intermediate,2017,0,1,5
Fall 2016,4,91,FEMALE,15,4,126,3.964,0.036,Mon,13,Intermediate,2018,0,1,7
Fall 2016,4,134,FEMALE,18,4,13,4,0,Mon,14,Introductory,2019,1,2,7
Fall 2016,4,119,FEMALE,20,4,41,3.916,0.084,Mon,14,Introductory,2017,1,2,19
Fall 2016,4,28,FEMALE,15,2.416,133,2.857,-0.441,Mon,14,Introductory,2018,0,2,49
Fall 2016,4,112,FEMALE,13,3.23,129,3.415,-0.185,Mon,14,Introductory,2020,0,2,5
Fall 2016,4,39,MALE,15,0.8,130,1.921,-1.121,Mon,14,Introductory,2018,0,1,10
Fall 2016,4,57,FEMALE,16,2.615,125,3.008,-0.393,Mon,14,Intermediate,2020,0,1,44
Fall 2016,4,115,FEMALE,15,3.666,125,3.681,-0.015,Mon,14,Introductory,2020,0,1,15
Fall 2016,4,74,FEMALE,24,3.4,153,3.431,-0.031,Mon,14,Intermediate,2020,0,1,83
Fall 2016,4,96,FEMALE,19,3.842,166,3.666,0.176,Mon,14,Introductory,2018,0,1,13
Fall 2016,4,61,MALE,14,2.615,131,2.477,0.138,Mon,15,Introductory,2019,0,1,33
Fall 2016,4,46,FEMALE,14,2.545,125,2.863,-0.318,Mon,15,Introductory,2018,0,1,27
Fall 2016,4,125,FEMALE,13,2.846,150,3.178,-0.332,Mon,15,Intermediate,2018,0,1,7
Fall 2016,4,313,MALE,20,3.5,123,3.475,0.025,Mon,15,Intermediate,2018,0,1,13
Fall 2016,4,38,FEMALE,12,3.583,148,2.945,0.638,Mon,16,Intermediate,2018,0,1,4
Fall 2016,4,35,FEMALE,15,3,142,3.33,-0.33,Mon,16,Intermediate,2019,0,1,5
Fall 2016,4,22,FEMALE,15,2.8,33,2.9,-0.1,Mon,16,Advanced,2017,1,1,2
Fall 2016,4,30,MALE,19,3.812,126,3.886,-0.074,Mon,16,Intermediate,2019,0,1,15
Fall 2016,4,29,FEMALE,9,4,135,3.39,0.61,Mon,16,Intermediate,2018,0,1,8
Fall 2016,4,32,FEMALE,14,2.727,65,2.793,-0.066,Mon,16,Intermediate,2018,0,1,2
Fall 2016,4,93,MALE,16,3.812,126,3.715,0.097,Mon,16,Intermediate,2018,0,1,8
Fall 2016,4,7,MALE,11,2.6,162,3.017,-0.417,Mon,16,Intermediate,2021,0,1,8
Fall 2016,4,25,FEMALE,13,2.8,123,3.552,-0.752,Mon,16,Intermediate,2019,0,1,41
Fall 2016,4,53,FEMALE,17,2.47,149,2.451,0.019,Mon,16,Introductory,2018,0,1,1
Fall 2016,4,56,MALE,19,3.47,132,3.59,-0.12,Mon,16,Introductory,2019,0,1,6
Fall 2016,4,28,FEMALE,13,2.8,123,3.552,-0.752,Mon,17,Intermediate,2019,0,1,41
Fall 2016,4,283,MALE,12,3.333,203,3.736,-0.403,Mon,17,Introductory,2017,0,1,31
Fall 2016,4,27,FEMALE,14,3.2,131,3.389,-0.189,Mon,17,Intermediate,2018,0,1,2
Fall 2016,4,37,FEMALE,20,4,41,3.916,0.084,Mon,17,Introductory,2017,1,1,19
Fall 2016,4,97,FEMALE,16,3,101,3.275,-0.275,Mon,17,Introductory,2021,0,1,12
Fall 2016,4,108,FEMALE,18,2.285,139,2.019,0.266,Mon,17,Introductory,2019,0,1,15
Fall 2016,4,59,FEMALE,15,3.583,147,3.407,0.176,Mon,18,Advanced,2018,0,3,2
Fall 2016,4,8,FEMALE,17,3.823,125,3.84,-0.017,Mon,18,Intermediate,2019,0,3,6
Fall 2016,4,64,FEMALE,13,4,133,3.787,0.213,Mon,18,Advanced,2020,0,3,7
Fall 2016,4,37,FEMALE,11,3.545,144,3.807,-0.262,Mon,18,Introductory,2021,0,2,1
Fall 2016,4,37,FEMALE,6,3.5,131,3.238,0.262,Mon,18,Introductory,2021,0,2,1
Fall 2016,4,85,FEMALE,19,4,122,3.828,0.172,Mon,18,Introductory,2018,0,1,8
Fall 2016,4,46,MALE,13,3.076,56,3.046,0.03,Mon,18,Introductory,2017,1,1,11
Fall 2016,4,46,FEMALE,21,3.8,108,3.45,0.35,Mon,18,Introductory,2018,0,1,7
Fall 2016,4,49,FEMALE,14,2.928,151,3.322,-0.394,Mon,19,Advanced,2018,0,2,8
Fall 2016,4,49,FEMALE,17,3.764,132,3.86,-0.096,Mon,19,Advanced,2018,0,2,7
Fall 2016,4,81,FEMALE,16,3.461,67,3.633,-0.172,Mon,19,Advanced,2017,0,2,16
Fall 2016,4,39,MALE,19,2.111,111,2.64,-0.529,Mon,19,Introductory,2021,0,2,8
Fall 2016,4,77,FEMALE,14,3.285,122,3.486,-0.201,Mon,19,Advanced,2017,0,1,20
Fall 2016,4,60,MALE,17,2.882,147,3.242,-0.36,Mon,19,Advanced,2017,0,1,4
Fall 2016,4,96,FEMALE,16,3.687,136,3.505,0.182,Mon,19,Advanced,2018,0,1,4
Fall 2016,4,49,FEMALE,16,3.812,77,3.696,0.116,Mon,19,Advanced,2017,0,1,7
Fall 2016,4,33,FEMALE,16,4,122,4,0,Mon,19,Advanced,2018,0,2,13
Fall 2016,4,53,MALE,18,3.6,133,3.015,0.585,Mon,19,Introductory,2020,0,2,7
Fall 2016,4,134,MALE,17,2.352,182,2.119,0.233,Mon,19,Introductory,2018,0,1,7
Fall 2016,4,39,FEMALE,15,3.5,126,3.576,-0.076,Mon,19,Advanced,2020,0,1,14
Fall 2016,4,21,FEMALE,15,3.2,136,3.354,-0.154,Mon,19,Advanced,2018,0,1,1
Fall 2016,4,11,FEMALE,17,3.823,125,3.84,-0.017,Mon,19,Intermediate,2019,0,1,6
Fall 2016,4,50,FEMALE,22,1.857,125,2.606,-0.749,Mon,19,Introductory,2021,0,1,25
Fall 2016,4,53,FEMALE,18,3.833,142,3.925,-0.092,Mon,20,Advanced,2018,0,1,8
Fall 2016,4,50,FEMALE,16,3.533,146,3.578,-0.045,Mon,20,Advanced,2018,0,1,5
Fall 2016,4,58,FEMALE,16,3.437,127,3.28,0.157,Mon,20,Intermediate,2018,0,1,1
Fall 2016,4,65,MALE,17,3.823,124,3.321,0.502,Tue,8,Intermediate,2020,0,1,77
Fall 2016,4,89,MALE,18,3.437,129,3.561,-0.124,Tue,9,Introductory,2019,0,2,7
Fall 2016,4,89,FEMALE,19,3.842,166,3.666,0.176,Tue,9,Introductory,2018,0,2,13
Fall 2016,4,122,MALE,12,3.5,173,3.304,0.196,Tue,9,Introductory,2018,0,1,29
Fall 2016,4,47,FEMALE,14,2.545,125,2.863,-0.318,Tue,9,Introductory,2018,0,1,27
Fall 2016,4,20,FEMALE,16,3.562,124,3,0.562,Tue,9,Introductory,2020,0,1,1
Fall 2016,4,90,FEMALE,16,4,132,3.917,0.083,Tue,9,Introductory,2018,0,1,15
Fall 2016,4,131,MALE,17,3,148,2.812,0.188,Tue,10,Introductory,2018,0,1,47
Fall 2016,4,53,MALE,16,2,45,2.21,-0.21,Tue,10,Advanced,2018,1,1,6
Fall 2016,4,10,MALE,17,4,31,4,0,Tue,10,Introductory,2017,1,1,41
Fall 2016,4,29,MALE,12,4,27,4,0,Tue,10,Introductory,2017,1,1,34
Fall 2016,4,80,FEMALE,16,3.166,127,3.218,-0.052,Tue,10,Advanced,2020,0,1,3
Fall 2016,4,91,FEMALE,9,4,115,3.941,0.059,Tue,11,Introductory,2021,0,1,9
Fall 2016,4,64,MALE,15,3,167,3.085,-0.085,Tue,11,Introductory,2020,0,1,5
Fall 2016,4,94,FEMALE,18,4,13,4,0,Tue,11,Introductory,2019,1,1,7
Fall 2016,4,65,FEMALE,18,3.25,123,3.078,0.172,Tue,11,Advanced,2018,0,2,1
Fall 2016,4,65,FEMALE,15,4,154,3.508,0.492,Tue,11,Introductory,2020,0,2,10
Fall 2016,4,64,FEMALE,17,4,150,4,0,Tue,11,Introductory,2018,0,1,37
Fall 2016,4,76,FEMALE,16,4,137,3.69,0.31,Tue,11,Intermediate,2018,0,1,3
Fall 2016,4,83,FEMALE,12,2.222,125,2.653,-0.431,Tue,11,Introductory,2020,0,1,34
Fall 2016,4,95,FEMALE,14,3.75,155,3.338,0.412,Tue,12,Introductory,2021,0,2,1
Fall 2016,4,157,MALE,16,3.8,139,3.593,0.207,Tue,12,Introductory,2020,0,2,36
Fall 2016,4,30,MALE,18,3.333,130,3.02,0.313,Tue,12,Intermediate,2017,0,1,13
Fall 2016,4,13,FEMALE,16,3.375,71,3.22,0.155,Tue,12,Introductory,2018,1,1,13
Fall 2016,4,120,MALE,13,3.307,119,2.579,0.728,Tue,13,Introductory,2021,0,1,3
Fall 2016,4,264,MALE,15,2.8,37,3.225,-0.425,Tue,13,Introductory,2017,1,1,7
Fall 2016,4,131,FEMALE,6,2.5,105,3.265,-0.765,Tue,13,Intermediate,2017,0,1,5
Fall 2016,4,130,FEMALE,15,3.2,125,3.341,-0.141,Tue,13,Introductory,2018,0,1,33
Fall 2016,4,128,MALE,3,0,136,3.186,-3.186,Tue,13,Introductory,2018,0,1,35
Fall 2016,4,128,FEMALE,16,2.875,134,3.178,-0.303,Tue,13,Introductory,2018,0,2,23
Fall 2016,4,128,FEMALE,16,3.076,124,3.547,-0.471,Tue,13,Introductory,2018,0,2,23
Fall 2016,4,129,FEMALE,16,3.812,126,3.135,0.677,Tue,13,Introductory,2020,0,1,20
Fall 2016,4,103,MALE,15,2.666,133,2.923,-0.257,Tue,13,Introductory,2020,0,2,11
Fall 2016,4,80,MALE,16,2,45,2.21,-0.21,Tue,13,Advanced,2018,1,2,6
Fall 2016,4,64,FEMALE,16,2.937,155,2.949,-0.012,Tue,13,Introductory,2020,0,1,60
Fall 2016,4,35,MALE,16,4,141,4,0,Tue,13,Introductory,2020,0,1,9
Fall 2016,4,72,MALE,17,2.882,126,2.319,0.563,Tue,14,Intermediate,2021,0,1,21
Fall 2016,4,145,MALE,10,2.333,139,2.924,-0.591,Tue,14,Intermediate,2018,0,1,33
Fall 2016,4,81,FEMALE,17,3.388,124,3.475,-0.087,Tue,14,Intermediate,2018,0,1,1
Fall 2016,4,63,MALE,13,3.8,126,3.451,0.349,Tue,14,Advanced,2017,0,1,2
Fall 2016,4,50,MALE,15,3.6,122,3.68,-0.08,Tue,14,Intermediate,2019,0,1,31
Fall 2016,4,9,MALE,15,2.2,133,2.536,-0.336,Tue,14,Advanced,2017,0,1,1
Fall 2016,4,28,FEMALE,15,2.933,124,2.457,0.476,Tue,14,Intermediate,2019,0,1,12
Fall 2016,4,123,MALE,16,3.272,132,3.069,0.203,Tue,15,Introductory,2020,0,1,5
Fall 2016,4,100,FEMALE,12,2.5,89,3.317,-0.817,Tue,15,Introductory,2017,0,2,49
Fall 2016,4,60,FEMALE,16,2.937,155,2.949,-0.012,Tue,15,Introductory,2020,0,2,60
Fall 2016,4,73,MALE,16,3.812,9,4,-0.188,Tue,15,Intermediate,2021,0,2,5
Fall 2016,4,33,MALE,16,3.812,127,3.312,0.5,Tue,15,Introductory,2020,0,2,3
Fall 2016,4,15,MALE,14,2.615,131,2.477,0.138,Tue,15,Introductory,2019,0,2,33
Fall 2016,4,9,MALE,16,3.3,27,2.791,0.509,Tue,15,Intermediate,2017,1,2,6
Fall 2016,4,40,FEMALE,16,3.25,123,3.189,0.061,Tue,15,Intermediate,2020,0,2,1
Fall 2016,4,43,FEMALE,28,3.777,128,3.846,-0.069,Tue,15,Intermediate,2020,0,2,2
Fall 2016,4,107,FEMALE,21,4,144,3.971,0.029,Tue,15,Intermediate,2018,0,1,1
Fall 2016,4,157,FEMALE,16,3.307,130,2.664,0.643,Tue,15,Intermediate,2020,0,1,11
Fall 2016,4,369,MALE,13,2,60,2.463,-0.463,Tue,15,Intermediate,2017,1,1,1
Fall 2016,4,51,FEMALE,18,3.111,122,3.153,-0.042,Tue,15,Intermediate,2019,0,1,9
Fall 2016,4,92,MALE,15,2.25,137,2.722,-0.472,Tue,15,Advanced,2018,0,1,29
Fall 2016,4,38,MALE,15,2.25,129,3.039,-0.789,Tue,16,Introductory,2020,0,1,51
Fall 2016,4,15,FEMALE,16,3.769,122,3.682,0.087,Tue,16,Intermediate,2019,0,1,14
Fall 2016,4,36,FEMALE,13,1.714,65,2.333,-0.619,Tue,16,Intermediate,2018,1,1,2
Fall 2016,4,112,MALE,15,3.2,132,3.495,-0.295,Tue,16,Intermediate,2018,0,1,6
Fall 2016,4,129,MALE,18,3.666,159,3.736,-0.07,Tue,16,Introductory,2019,0,1,71
Fall 2016,4,161,FEMALE,15,4,154,3.508,0.492,Tue,16,Introductory,2020,0,1,10
Fall 2016,4,47,FEMALE,18,3.833,123,3.75,0.083,Tue,17,Introductory,2019,0,1,1
Fall 2016,4,9,FEMALE,17,4,135,3.965,0.035,Tue,17,Intermediate,2018,0,1,13
Fall 2016,4,99,FEMALE,15,2.4,126,2.9,-0.5,Tue,17,Introductory,2018,0,1,1
Fall 2016,4,63,FEMALE,17,3,130,3.336,-0.336,Tue,17,Introductory,2018,0,1,26
Fall 2016,4,46,FEMALE,15,2.5,126,2.569,-0.069,Tue,17,Introductory,2020,0,1,1
Fall 2016,4,55,FEMALE,18,2.555,148,2.746,-0.191,Tue,17,Introductory,2017,0,2,4
Fall 2016,4,109,FEMALE,13,3.769,24,3.5,0.269,Tue,17,Intermediate,2021,0,2,4
Fall 2016,4,41,FEMALE,15,2.416,133,2.857,-0.441,Tue,17,Introductory,2018,0,1,49
Fall 2016,4,13,MALE,14,4,162,3.942,0.058,Tue,17,Introductory,2018,0,1,10
Fall 2016,4,63,MALE,13,3.5,65,2.317,1.183,Tue,17,Introductory,2018,1,1,1
Fall 2016,4,39,MALE,16,3.687,123,3.727,-0.04,Tue,17,Other,2021,0,1,14
Fall 2016,4,167,MALE,17,2.294,139,2.377,-0.083,Tue,17,Introductory,2018,0,2,3
Fall 2016,4,149,FEMALE,15,3.466,124,3.38,0.086,Tue,17,Introductory,2018,0,2,10
Fall 2016,4,62,MALE,11,2.6,162,3.017,-0.417,Tue,18,Introductory,2021,0,1,8
Fall 2016,4,148,FEMALE,16,4,130,3.81,0.19,Tue,18,Intermediate,2018,0,1,1
Fall 2016,4,144,FEMALE,16,3.75,122,3.813,-0.063,Tue,18,Advanced,2018,0,1,1
Fall 2016,4,81,MALE,17,4,31,4,0,Tue,18,Introductory,2017,1,1,41
Fall 2016,4,9,FEMALE,18,3.2,136,2.837,0.363,Tue,18,Intermediate,2017,0,1,1
Fall 2016,4,51,FEMALE,22,3.75,44,3.781,-0.031,Tue,18,Introductory,2017,1,1,3
Fall 2016,4,175,MALE,19,3.625,126,3.494,0.131,Tue,18,Intermediate,2018,0,1,42
Fall 2016,4,97,FEMALE,14,3.285,122,3.486,-0.201,Tue,19,Advanced,2017,0,2,20
Fall 2016,4,98,FEMALE,17,3.176,137,3.53,-0.354,Tue,19,Advanced,2018,0,2,14
Fall 2016,4,97,FEMALE,16,3.461,67,3.633,-0.172,Tue,19,Advanced,2017,0,3,16
Fall 2016,4,123,FEMALE,16,1.6,40,2.136,-0.536,Tue,19,Introductory,2018,1,3,16
Fall 2016,4,122,FEMALE,16,1.6,40,2.136,-0.536,Tue,19,Introductory,2018,1,3,16
Fall 2016,4,52,FEMALE,18,3.769,134,3.743,0.026,Tue,19,Introductory,2020,0,1,2
Fall 2016,4,36,MALE,18,2.8,165,2.759,0.041,Tue,19,Introductory,2019,0,3,16
Fall 2016,4,95,FEMALE,15,3.266,126,3.727,-0.461,Tue,19,Advanced,2018,0,3,16
Fall 2016,4,103,MALE,13,2.9,75,2.55,0.35,Tue,19,Advanced,2018,1,3,2
Fall 2016,4,113,FEMALE,20,3.647,174,3.859,-0.212,Tue,19,Advanced,2018,0,1,9
Fall 2016,4,68,FEMALE,18,3.833,142,3.925,-0.092,Tue,19,Advanced,2018,0,1,8
Fall 2016,4,82,FEMALE,13,4,145,3.864,0.136,Tue,19,Advanced,2018,0,1,9
Fall 2016,4,34,MALE,18,2.8,126,3.254,-0.454,Tue,19,Intermediate,2018,0,1,5
Fall 2016,4,38,FEMALE,16,3,101,3.275,-0.275,Tue,19,Introductory,2021,0,1,12
Fall 2016,4,62,FEMALE,16,3.812,77,3.696,0.116,Tue,19,Advanced,2017,0,1,7
Fall 2016,4,50,FEMALE,14,3.785,154,3.926,-0.141,Tue,19,Introductory,2020,0,1,2
Fall 2016,4,57,FEMALE,21,3.388,122,3.553,-0.165,Tue,19,Advanced,2017,0,1,6
Fall 2016,4,14,MALE,13,3,103,2.074,0.926,Tue,19,Introductory,2021,0,2,5
Fall 2016,4,70,FEMALE,17,3.823,185,3.92,-0.097,Tue,19,Advanced,2020,0,2,5
Fall 2016,4,113,MALE,13,3.083,167,3.208,-0.125,Tue,19,Introductory,2018,0,1,8
Fall 2016,4,56,MALE,15,4,123,3.735,0.265,Tue,20,Intermediate,2018,0,1,18
Fall 2016,4,50,MALE,18,3.666,159,3.736,-0.07,Tue,20,Introductory,2019,0,1,71
Fall 2016,4,110,MALE,12,3,133,3.266,-0.266,Wed,9,Introductory,2019,0,1,16
Fall 2016,4,57,MALE,19,3.666,57,2.902,0.764,Wed,9,Introductory,2018,1,1,1
Fall 2016,4,82,FEMALE,14,4,176,3.625,0.375,Wed,9,Introductory,2020,0,1,30
Fall 2016,4,32,MALE,16,3.538,129,3.576,-0.038,Wed,9,Introductory,2020,0,1,27
Fall 2016,4,59,FEMALE,12,0,86,3.406,-3.406,Wed,10,Introductory,2017,0,1,1
Fall 2016,4,49,MALE,18,2.666,129,2.686,-0.02,Wed,10,Advanced,2017,0,1,7
Fall 2016,4,48,MALE,15,3.4,128,3.442,-0.042,Wed,10,Advanced,2017,0,1,17
Fall 2016,4,93,MALE,13,2.076,133,3.039,-0.963,Wed,10,Introductory,2020,0,1,68
Fall 2016,4,27,MALE,17,3.222,126,2.615,0.607,Wed,10,Introductory,2017,0,1,4
Fall 2016,4,255,MALE,14,2,133,2.59,-0.59,Wed,10,Introductory,2018,0,1,31
Fall 2016,4,79,FEMALE,16,3.769,129,3.577,0.192,Wed,10,Introductory,2020,0,1,30
Fall 2016,4,103,FEMALE,14,2.545,125,2.863,-0.318,Wed,10,Introductory,2018,0,1,27
Fall 2016,4,77,MALE,12,4,134,3.218,0.782,Wed,10,Advanced,2017,0,1,11
Fall 2016,4,48,FEMALE,13,2.8,123,3.552,-0.752,Wed,10,Intermediate,2019,0,1,41
Fall 2016,4,49,FEMALE,18,2.75,30,3.375,-0.625,Wed,11,Intermediate,2017,0,1,6
Fall 2016,4,14,FEMALE,13,2.538,139,2.48,0.058,Wed,11,Intermediate,2018,0,1,13
