model,train_rmse,test_rmse,rmse_difference
Ridge_vanilla_kfold,60.662376807715894,60.30868784096726,-0.3536889667486349
Ridge_vanilla_rolling,62.132515824893325,60.31043506941025,-1.8220807554830785
Ridge_vanilla_expanding,62.05667070550786,60.29769975155851,-1.7589709539493512
Ridge_interact_select_kfold,60.56422450391951,60.771362914156406,0.20713841023689383
Ridge_interact_select_rolling,62.2191249194723,60.57140913922267,-1.6477157802496265
Ridge_interact_select_expanding,62.03631815663763,60.392606567060916,-1.6437115895767107
Ridge_pca_lda_kfold,60.62425070539505,60.97367137245163,0.3494206670565845
Ridge_pca_lda_rolling,68.61603942481824,60.67650472095702,-7.93953470386122
Ridge_pca_lda_expanding,69.9022654089641,60.67650472095702,-9.225760688007078
Lasso_vanilla_kfold,60.676568468254956,60.24224352736993,-0.43432494088502693
Lasso_vanilla_rolling,62.162134995164024,60.91390721443766,-1.248227780726367
Lasso_vanilla_expanding,62.12513258384081,60.81611375017184,-1.309018833668972
Lasso_interact_select_kfold,60.54524271494216,60.7202989072897,0.17505619234754022
Lasso_interact_select_rolling,62.21800181259946,60.58455422917724,-1.6334475834222175
Lasso_interact_select_expanding,62.09928785159268,60.24962226722372,-1.8496655843689567
Lasso_pca_lda_kfold,60.52354430446401,60.435301140551104,-0.08824316391290665
Lasso_pca_lda_rolling,65.62162161833476,60.26156657466024,-5.360055043674514
Lasso_pca_lda_expanding,66.83521898874626,60.38192403570013,-6.453294953046132
