Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,129,FEMALE,12,1,79,-1.535,6,Tue,Intermediate,2018,0,1,0,0,0,1,0
Fall,38,FEMALE,13,1.714,65,-0.619,7,Tue,Intermediate,2018,1,0,0,0,0,1,0
Fall,55,FEMALE,14,1.727,134,-1.609,6,Tue,Introductory,2020,0,1,0,0,0,0,1
Fall,21,MALE,14,3.5,30,-0.23,6,Tue,Introductory,2017,1,0,1,0,0,0,1
Fall,119,MALE,12,3.75,148,0.365,7,Tue,Introductory,2018,0,1,0,0,0,0,1
Fall,95,FEMALE,17,3.294,134,0.08,8,Tue,Introductory,2018,0,0,1,0,0,0,1
Fall,11,FEMALE,22,3.578,143,0.167,9,Tue,Introductory,2020,0,1,0,0,0,0,1
Fall,24,FEMALE,16,4,123,0.351,10,Tue,Introductory,2019,0,1,0,0,0,0,1
Fall,61,FEMALE,15,3.5,126,-0.5,11,Tue,Introductory,2021,0,1,0,0,0,0,1
Fall,61,FEMALE,16,3.09,157,-0.144,12,Tue,Introductory,2021,0,1,0,0,0,0,1
Fall,60,FEMALE,20,3.526,36,-0.11,13,Tue,Introductory,2017,1,0,0,0,0,0,1
Fall,65,MALE,16,2.687,138,-0.335,11,Tue,Introductory,2018,0,0,1,0,0,0,1
Fall,137,FEMALE,14,2.571,95,0.622,12,Tue,Introductory,2020,0,1,1,0,0,0,1
Fall,130,FEMALE,13,2.1,126,-0.722,13,Tue,Introductory,2019,0,1,1,0,0,0,1
Fall,93,FEMALE,20,3.647,82,-0.033,13,Tue,Introductory,2017,0,0,1,0,0,0,1
Fall,119,FEMALE,15,2.466,123,-0.418,14,Tue,Introductory,2020,0,1,0,0,0,0,1
Fall,123,FEMALE,16,3.625,72,0.07,13,Tue,Introductory,2018,1,0,0,0,0,0,1
Fall,21,MALE,16,3.687,123,-0.04,10,Tue,Introductory,2021,0,1,1,0,0,0,1
Fall,84,MALE,12,3.333,203,-0.403,10,Tue,Introductory,2017,0,0,0,0,0,0,1
Fall,159,FEMALE,19,3.071,142,-0.225,10,Tue,Introductory,2020,0,1,1,0,0,0,1
Fall,74,MALE,12,2.666,133,0.03,11,Tue,Introductory,2018,0,0,1,0,0,0,1
Fall,45,MALE,16,2.714,132,0.033,12,Tue,Introductory,2019,0,1,1,0,0,0,1
Fall,44,FEMALE,15,2,82,-0.328,11,Tue,Introductory,2017,0,0,1,0,0,0,1
Fall,76,FEMALE,18,3.187,141,-0.037,12,Tue,Intermediate,2020,0,1,1,0,0,0,1
Fall,26,MALE,18,3.333,122,0.045,12,Tue,Introductory,2019,0,1,1,0,0,0,1
Fall,27,FEMALE,16,3.062,128,-0.139,11,Tue,Introductory,2020,0,1,1,0,0,0,1
Fall,107,FEMALE,15,4,76,0,12,Tue,Introductory,2017,0,0,1,0,0,0,1
Fall,94,FEMALE,15,2.6,150,-0.42,11,Tue,Introductory,2018,0,0,0,0,0,0,1
Fall,53,MALE,12,2.75,154,0.205,4,Tue,Introductory,2020,0,1,1,0,0,0,1
Fall,44,MALE,15,3,139,0.308,5,Tue,Introductory,2020,0,1,1,0,0,0,1
Fall,19,FEMALE,13,4,129,0,6,Tue,Introductory,2019,0,1,1,0,0,0,1
Fall,32,MALE,16,3.538,129,-0.038,1,Wed,Introductory,2020,0,1,1,0,0,0,0
Fall,99,MALE,12,3,133,-0.266,2,Wed,Introductory,2019,0,1,1,0,0,0,0
Fall,86,FEMALE,6,2.5,105,-0.765,3,Wed,Intermediate,2017,0,0,0,1,0,0,0
Fall,145,FEMALE,15,4,76,0,4,Wed,Introductory,2017,0,0,1,0,0,0,0
Fall,74,MALE,17,2.882,126,0.032,4,Wed,Introductory,2020,0,1,1,0,0,0,0
Fall,33,FEMALE,16,2.875,123,0.217,5,Wed,Introductory,2020,0,1,1,0,0,0,0
Fall,69,MALE,14,2,133,-0.59,6,Wed,Introductory,2018,0,0,1,0,0,0,0
Fall,47,MALE,12,2.25,136,-0.47,7,Wed,Introductory,2020,0,1,1,0,0,0,0
Fall,64,FEMALE,18,4,13,0,5,Wed,Introductory,2019,1,1,1,0,0,0,0
Fall,64,MALE,12,3.75,122,0.154,6,Wed,Introductory,2020,0,1,1,0,0,0,0
Fall,24,MALE,16,3.625,125,0.158,6,Wed,Intermediate,2018,0,0,0,0,0,0,0
Fall,68,MALE,13,3.615,138,-0.201,7,Wed,Introductory,2020,0,1,1,0,0,0,0
Fall,28,FEMALE,16,3.166,127,-0.052,6,Wed,Graduate,2020,0,1,1,0,0,0,0
Fall,70,MALE,10,3.4,145,0.857,7,Wed,Introductory,2018,0,0,1,0,0,0,0
Fall,62,MALE,13,4,145,0.616,7,Wed,Introductory,2020,0,1,1,0,0,0,0
Fall,33,MALE,15,2.25,124,-0.572,7,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,52,FEMALE,13,3.076,132.5,-0.304,6,Wed,Intermediate,2018,0,0,0,1,0,1,0
Fall,119,MALE,12,2,134,-0.268,6,Wed,Advanced,2020,0,1,0,0,0,1,0
